[I] 2016-05-19 11:31:50.396 - node version is v4.4.2, toolkit version is 1.3.8
[I] 2016-05-19 11:31:50.416 - parse config file E:/code/health-club/src/web/deploy/release.conf
[W] 2016-05-19 11:31:50.438 - DIR_STATIC[E:/code/health-club/src/web/public/res/] not exist
[D] 2016-05-19 11:31:50.471 - config result -> {"DIR_CONFIG":"E:/code/health-club/src/web/deploy/","DIR_WEBROOT":"E:/code/health-club/src/web/public/","DIR_SOURCE":"E:/code/health-club/src/web/public/dev-html/","DIR_OUTPUT":"E:/code/health-club/src/web/public/","DIR_SOURCE_TP":"E:/code/health-club/src/web/public/template/","DIR_OUTPUT_TP":"E:/code/health-club/src/web/public/","DIR_OUTPUT_STATIC":"E:/code/health-club/src/web/public/dist/","DIR_STATIC":"E:/code/health-club/src/web/public/res/","ALIAS_MATCH":{},"ALIAS_DICTIONARY":{},"DM_STATIC":[],"DM_STATIC_CS":[],"DM_STATIC_JS":[],"DM_STATIC_RS":[],"FILE_FILTER":{},"FILE_CHARSET":"utf-8","VERSION_MODE":0,"VERSION_STATIC":true,"CORE_MERGE_FLAG":0,"CORE_NOPARSE_FLAG":3,"WRP_INLINE_SOURCE":"%s","CPRS_FLAG":0,"CPRS_KEEP_COMMENT":false,"NEJ_DIR":"E:/code/health-club/src/web/public/dev-lib/nej/src/","NEJ_REGULAR":"regularjs","NEJ_PLATFORM":"wk","NEJ_PROCESSOR":{},"NEJ_INJECTOR":"I$","NEJ_MODULE_ROOT":"/","NEI_PROJECT_ID":0,"OPT_IMAGE_FLAG":false,"OPT_IMAGE_QUALITY":100,"MANIFEST_OUTPUT":"E:/code/health-club/src/web/public/cache.manifest","MANIFEST_TEMPLATE":"CACHE MANIFEST\n#VERSION = #<VERSION>\n\nCACHE:\n#<CACHE_LIST>\n\nNETWORK:\n*\n\nFALLBACK:\n","OBF_LEVEL":0,"OBF_NAME_BAGS":"E:/code/health-club/src/web/deploy/names.json","OBF_COMPATIBLE":true,"OBF_SOURCE_MAP":false,"OBF_MAX_CS_INLINE_SIZE":50,"OBF_MAX_JS_INLINE_SIZE":0,"OBF_CORE_INLINE_FLAG":0,"OBF_DROP_CONSOLE":true,"CORE_LIST_CS":["/src/css/1base.css","/src/css/2grid.css","/src/css/3module.css","/src/css/4unit.css"],"CORE_FREQUENCY_JS":2,"CORE_FREQUENCY_CS":2,"CORE_IGNORE_ENTRY":false,"WRP_SCRIPT_SOURCE":"%s","WRP_INLINE_CS":"<textarea name=\"css\">%s</textarea>","WRP_EXLINE_CS":"<textarea name=\"css\" data-src=\"%s\"></textarea>","WRP_INLINE_JS":"<textarea name=\"js\">%s</textarea>","WRP_EXLINE_JS":"<textarea name=\"js\" data-src=\"%s\"></textarea>","WRP_INLINE_TP":"<textarea id=\"%s\" name=\"%s\">%s</textarea>","WRP_INLINE_STYLE":"<style type=\"text/css\">\n%s\n</style>","WRP_EXLINE_STYLE":"<link rel=\"stylesheet\" href=\"%s\"/>","WRP_INLINE_SCRIPT":"<script>\n%s\n</script>","WRP_EXLINE_SCRIPT":"<script src=\"%s\"></script>","X_AUTO_EXLINK_PATH":false,"X_AUTO_EXLINK_SCRIPT":false,"X_RELEASE_MODE":"online","X_LOGGER_LEVEL":"DEBUG","X_LOGGER_FILE":"E:/code/health-club/src/web/deploy/20160519113150471.log","":""}
[D] 2016-05-19 11:31:50.472 - overwrite X_RELEASE_MODE to online
[D] 2016-05-19 11:31:50.472 - overwrite X_LOGGER_LEVEL to ALL
[I] 2016-05-19 11:31:50.472 - cache nej config
[I] 2016-05-19 11:31:50.473 - prepare merge config
[I] 2016-05-19 11:31:50.476 - dump html files
[I] 2016-05-19 11:31:50.478 - dump template files
[I] 2016-05-19 11:31:50.493 - parse input files
[D] 2016-05-19 11:31:50.497 - loading resource E:/code/health-club/src/web/public/dev-html/app.html
[D] 2016-05-19 11:31:50.498 - loading resource E:/code/health-club/src/web/public/dev-html/center/index.html
